cht_name,eng_name,id,typhoon_year,typhoon_route,born_location,hit_date,hit_count,warning_start,warning_end,warning_count,max_intensity,max_wind_speed,landind_location,moving_info,disaster_info,link,typhoon_sn,total_accu_rain_pic,daily_accu_rain_pic,typhoon_info_pdf,typhoon_route_pic,typhoon_alert_pdf
米塔,MITAG,201918,2019,6,"132.2, 15.5",2019年 09月 30日,1,海上 2019-09-29 08:30:00;陸上 2019-09-29 20:30:00,陸上 2019-10-01 05:30:00;海上 2019-10-01 11:30:00,18,中度,38 (公尺/秒),無登陸,颱風在菲律賓東方海面生成後向西北移動，朝臺灣東北部海面前進，30日暴風圈通過臺灣東半部及中部以北陸地後，持續向北朝東海海面前進。,中央災害應變中心統計至10月1日09:00止，全臺計有12人受傷；空運交通狀況，國際航線延誤1班次、取消26班次；國內航線取消18班次；海運交通狀況，國內航線停航6航線23航次、兩岸航線停航4航線12航次。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/103?id=ISNULL,201918-米塔,201918-米塔/各測站總雨量長條圖.png,201918-米塔/各測站連續24小時累積雨量長條圖.png,201918-米塔/颱風雨量綜合資訊.pdf,201918-米塔/颱風路徑圖.png,201918-米塔/颱風警報單.pdf
白鹿,BAILU,201911,2019,4,"132.3, 15.6",2019年 08月 24日,1,海上 2019-08-23 05:30:00;陸上 2019-08-23 14:30:00,陸上 2019-08-25 08:30:00;海上 2019-08-25 11:30:00,19,輕度,30 (公尺/秒),屏東縣滿州鄉,颱風在菲律賓東方海面生成後向西北移動，朝巴士海峽方接近，24日13時於屏東滿州附近登陸，24日16時10分從高雄楠梓附近出海，25日7時左右由福建省進入大陸，向西北西離去。,"受颱風影響，花蓮及屏東地區有超大豪雨發生。中央災害應變中心統計至8月25日止，全臺計有1人死亡，9人受傷；農委會統計至8月27日止，農損逾新臺幣1億6,794萬元。",https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/102?id=ISNULL,201911-白鹿,201911-白鹿/各測站總雨量長條圖.png,201911-白鹿/各測站連續24小時累積雨量長條圖.png,201911-白鹿/颱風雨量綜合資訊.pdf,201911-白鹿/颱風路徑圖.png,201911-白鹿/颱風警報單.pdf
利奇馬,LEKIMA,201909,2019,1,"131.9, 17.4",2019年 08月 09日,1,海上 2019-08-07 17:30:00;陸上 2019-08-08 08:30:00,陸上 2019-08-09 20:30:00;海上 2019-08-10 08:30:00,22,強烈,53 (公尺/秒),無登陸,颱風在菲律賓東方海面生成後向西北移動，朝臺灣東北部海面前進，暴風圈掠過臺灣北部及東北部陸地後持續向北移動登陸中國浙江。,中央災害應變中心統計1人死亡，15傷。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/101?id=ISNULL,201909-利奇馬,201909-利奇馬/各測站總雨量長條圖.png,201909-利奇馬/各測站連續24小時累積雨量長條圖.png,201909-利奇馬/颱風雨量綜合資訊.pdf,201909-利奇馬/颱風路徑圖.png,201909-利奇馬/颱風警報單.pdf
丹娜絲,DANAS,201905,2019,---,"125.0, 17.0",2019年 07月 18日,1,海上 2019-07-16 23:30:00;陸上 2019-07-17 11:30:00,陸上 2019-07-17 20:30:00;海上 2019-07-18 17:30:00,15,輕度,20 (公尺/秒),無登陸,颱風在菲律賓東方海面生成後向西轉北移動，朝臺灣東南部海面前進，掠過臺灣東北部近海後持續向北移動遠離臺灣。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/100?id=ISNULL,201905-丹娜絲,201905-丹娜絲/各測站總雨量長條圖.png,201905-丹娜絲/各測站連續24小時累積雨量長條圖.png,201905-丹娜絲/颱風雨量綜合資訊.pdf,201905-丹娜絲/颱風路徑圖.png,201905-丹娜絲/颱風警報單.pdf
山竹,MANGKHUT,201822,2018,---,"165.5, 12.8",2018年 09月 15日,1,海上 2018-09-14 11:30:00,海上 2018-09-15 20:30:00,12,強烈,60 (公尺/秒),無登陸,颱風在威克島南方海面生成後向西移動，14日20時其暴風圈逐漸進入巴士海峽，並轉西北西移動，15日凌晨2時登陸呂宋島北部，上午11時進入南海，於16日下午由廣東進入大陸。,中央災害應變中心統計有1人死亡，其餘災情零星。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/96?id=ISNULL,201822-山竹,201822-山竹/各測站總雨量長條圖.png,201822-山竹/各測站連續24小時累積雨量長條圖.png,201822-山竹/颱風雨量綜合資訊.pdf,201822-山竹/颱風路徑圖.png,201822-山竹/颱風警報單.pdf
瑪莉亞,MARIA,201808,2018,1,"145.5, 12.5",2018年 07月 11日,1,海上 2018-07-09 14:30:00;陸上 2018-07-09 23:30:00,陸上 2018-07-11 14:30:00;海上 2018-07-11 14:30:00,17,強烈,55 (公尺/秒),無登陸,颱風在關島東南方海面生成後向西北西移動，10日通過臺灣北方海面，11日由福建進入大陸。,災情零星，計有5人受傷。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/93?id=ISNULL,201808-瑪莉亞,201808-瑪莉亞/各測站總雨量長條圖.png,201808-瑪莉亞/各測站連續24小時累積雨量長條圖.png,201808-瑪莉亞/颱風雨量綜合資訊.pdf,201808-瑪莉亞/颱風路徑圖.png,201808-瑪莉亞/颱風警報單.pdf
泰利,TALIM,201718,2017,---,"143.1, 15.2",2017年 09月 14日,1,海上 2017-09-12 14:30:00,海上 2017-09-14 20:30:00,19,中度,48 (公尺/秒),---,形成後往西北方向移動，13日23時其中心在臺北東北東方海面往北北西方向移動，暴風圈逐漸進入臺灣東北部近海。14日20時其中心在臺北東北方約400公里的海面上，對臺灣北部海面威脅已解除，颱風逐漸向北轉東北方向遠離。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/35?id=ISNULL,201718-泰利,201718-泰利/各測站總雨量長條圖.png,201718-泰利/各測站連續24小時累積雨量長條圖.png,201718-泰利/颱風雨量綜合資訊.pdf,201718-泰利/颱風路徑圖.png,201718-泰利/颱風警報單.pdf
谷超,GUCHOL,201717,2017,---,"120.4, 20.3",2017年 09月 07日,1,海上 2017-09-06 10:30:00,海上 2017-09-07 02:30:00,7,輕度,18 (公尺/秒),---,6日上午8時生成並向北北西方向移動，7日清晨2時於澎湖南南西方海面減弱為熱帶性低氣壓。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/28?id=ISNULL,201717-谷超,201717-谷超/各測站總雨量長條圖.png,---,201717-谷超/颱風雨量綜合資訊.pdf,201717-谷超/颱風路徑圖.png,201717-谷超/颱風警報單.pdf
哈吉貝,HAGIBIS,201407,2014,---,"116.8, 20.6",2014年 06月 15日,1,海上 2014-06-14 23:30:00,海上 2014-06-15 17:30:00,7,輕度,20 (公尺/秒),---,6月14日東沙島附近海面生成，中心往北移動。6月15日5時暴風圈進入臺灣海峽南部，持續向北移動，17時左右進入廣東並轉向東北移動。16日減弱為熱帶性低氣壓。,無。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/46?id=ISNULL,201407-哈吉貝,201407-哈吉貝/各測站總雨量長條圖.png,---,201407-哈吉貝/颱風雨量綜合資訊.pdf,201407-哈吉貝/颱風路徑圖.png,201407-哈吉貝/颱風警報單.pdf
天鴿,HATO,201713,2017,---,"128.0, 20.0",2017年 08月 22日,1,海上 2017-08-20 23:30:00;陸上 2017-08-21 14:30:00,陸上 2017-08-22 11:30:00;海上 2017-08-22 17:30:00,15,中度,33 (公尺/秒),---,颱風在菲律賓東方海面生成，颱風中心緩慢向西轉西北西方向移動並逐漸往巴士海峽靠近，接近臺灣。颱風中心於22日早上8時通過恆春南方近海，22日11時恆春半島脫離暴風圈後持續往東沙島方向移動，並於22日17時增強至中度颱風，臺灣各地及附近海面已脫離颱風暴風圈，颱風警報解除。,未有重大災情發生,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/27?id=ISNULL,201713-天鴿,201713-天鴿/各測站總雨量長條圖.png,201713-天鴿/各測站連續24小時累積雨量長條圖.png,201713-天鴿/颱風雨量綜合資訊.pdf,201713-天鴿/颱風路徑圖.png,201713-天鴿/颱風警報單.pdf
海棠,HAITANG,201710,2017,7,"117.1, 18.5",2017年 07月 30日,1,海上 2017-07-29 17:30:00;陸上 2017-07-29 17:30:00,陸上 2017-07-31 08:30:00;海上 2017-07-31 08:30:00,14,輕度,20 (公尺/秒),屏東楓港,颱風在鵝鑾鼻西南方海面形成後往巴士海峽方向移動，30日16時40分於屏東楓港附近登陸，31日0時30分由彰化芳苑附近出海，8時其位置在馬祖西方陸地，向西北轉北北西離去。,受尼莎與海棠2個颱風環流以及西南氣流之影響，南部地區有超大豪雨發生，造成臺南、高雄及屏東部分地區淹水。中央災害應變中心統計至7月30日止，全臺計有111人受傷。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/26?id=ISNULL,201710-海棠,201710-海棠/各測站總雨量長條圖.png,201710-海棠/各測站連續24小時累積雨量長條圖.png,201710-海棠/颱風雨量綜合資訊.pdf,201710-海棠/颱風路徑圖.png,201710-海棠/颱風警報單.pdf
艾利,AERE,201619,2016,---,"126.4, 18.7",2016年 10月 06日,1,海上 2016-10-05 11:30:00,海上 2016-10-06 14:30:00,10,輕度,18 (公尺/秒),---,形成後向西前進，6日14時其中心在東沙島東方230公里海面上，臺灣附近海面已脫離暴風圈，海上颱風警報解除。,未有重大災情發生。,---,201619-艾利,201619-艾利/各測站總雨量長條圖.png,201619-艾利/各測站連續24小時累積雨量長條圖.png,201619-艾利/颱風雨量綜合資訊.pdf,201619-艾利/颱風路徑圖.png,201619-艾利/颱風警報單.pdf
梅姬,MEGI,201617,2016,3,"140.0, 15.5",2016年 09月 27日,1,海上 2016-09-25 23:30:00;陸上 2016-09-26 11:30:00,陸上 2016-09-28 17:30:00;海上 2016-09-28 17:30:00,23,中度,45 (公尺/秒),花蓮市附近,颱風在關島附近海面形成後逐漸往西北西方向移動。25日23時其中心在花蓮東南東方海面，暴風圈逐漸朝臺灣東半部海面接近；27日5時，其中心在花蓮東南方海面，暴風圈逐漸影響臺灣東半部陸地。颱風中心於27日14時在花蓮市附近登陸，21時10分由雲林縣麥寮出海，並於28日5時左右由金門北方進入福建。,受颱風影響，梧棲、蘇澳出現17級強陣風，東部與南部地區亦有超大豪雨發生。中央災害應變中心統計至9月28日止，全臺計有4人死亡，662人受傷，農損逾新臺幣3億元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/22?id=ISNULL,201617-梅姬,201617-梅姬/各測站總雨量長條圖.png,201617-梅姬/各測站連續24小時累積雨量長條圖.png,201617-梅姬/颱風雨量綜合資訊.pdf,201617-梅姬/颱風路徑圖.png,201617-梅姬/颱風警報單.pdf
馬勒卡,MALAKAS,201616,2016,---,"139.5, 13.8",2016年 09月 17日,1,海上 2016-09-15 23:30:00;陸上 2016-09-16 08:30:00,陸上 2016-09-18 02:30:00;海上 2016-09-18 08:30:00,20,中度,45 (公尺/秒),---,颱風在西北太平洋洋面形成後往西北轉北北西方向移動，16日20時其中心在恆春東方海面，暴風圈進入臺灣東南部近海。17日0時起其暴風圈已進入臺灣東部及東南部陸地，之後逐漸往北轉北北東進行。18日2時，颱風中心在臺北東北方海面，臺灣本島已脫離暴風圈。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/21?id=ISNULL,201616-馬勒卡,201616-馬勒卡/各測站總雨量長條圖.png,201616-馬勒卡/各測站連續24小時累積雨量長條圖.png,201616-馬勒卡/颱風雨量綜合資訊.pdf,201616-馬勒卡/颱風路徑圖.png,201616-馬勒卡/颱風警報單.pdf
莫蘭蒂,MERANTI,201614,2016,7,"139.2, 14.7",2016年 09月 14日,1,海上 2016-09-12 23:30:00;陸上 2016-09-13 08:30:00,陸上 2016-09-15 11:30:00;海上 2016-09-15 11:30:00,21,強烈,60 (公尺/秒),金門,颱風在關島西方海面形成後往西北西轉西北方向移動，13日14時其中心在恆春東南東方海面，暴風圈開始進入巴士海峽，同日23時起其暴風圈逐漸進入臺灣東南部陸地及恆春半島，對臺灣東部、中南部及澎湖、金門地區構成威脅。颱風中心於15日2時左右由金門進入福建，11時金門脫離暴風圈，颱風警報解除。,受颱風影響，東吉島、金門出現17級以上強陣風。中央災害應變中心統計至9月15日止，全臺計有1人死亡，62人受傷，農損約新臺幣1億元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/20?id=ISNULL,201614-莫蘭蒂,201614-莫蘭蒂/各測站總雨量長條圖.png,201614-莫蘭蒂/各測站連續24小時累積雨量長條圖.png,201614-莫蘭蒂/颱風雨量綜合資訊.pdf,201614-莫蘭蒂/颱風路徑圖.png,201614-莫蘭蒂/颱風警報單.pdf
麥德姆,MATMO,201410,2014,3,"135.4, 10.4",2014年 07月 23日,1,海上 2014-07-21 17:30:00;陸上 2014-07-22 02:30:00,陸上 2014-07-23 23:30:00;海上 2014-07-23 23:30:00,19,中度,38 (公尺/秒),臺東長濱,生成後向西北轉北北西移動，23 日0 時10 分左右於臺東長濱登陸，4 時20 分由彰化附近出海，15 時左右在馬祖南方進入福建。,受颱風影響，造成部分地區淹水、鐵公路交通中斷等災情。農損逾新臺幣6 億元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/47?id=ISNULL,201410-麥德姆,201410-麥德姆/各測站總雨量長條圖.png,201410-麥德姆/各測站連續24小時累積雨量長條圖.png,201410-麥德姆/颱風雨量綜合資訊.pdf,201410-麥德姆/颱風路徑圖.png,201410-麥德姆/颱風警報單.pdf
尼伯特,NEPARTAK,201601,2016,4,"145.2, 8.9",2016年 07月 08日,1,海上 2016-07-06 14:30:00;陸上 2016-07-06 20:30:00,陸上 2016-07-09 14:30:00;海上 2016-07-09 14:30:00,25,強烈,58 (公尺/秒),臺東縣太麻里,颱風在關島南方海面形成後往西北西方向移動，7日8時其中心在花蓮東南方海面，暴風圈逐漸接近臺灣東南方近海，同日傍晚起其暴風圈逐漸進入臺灣東南部陸地及恆春半島。颱風中心於8日5時50分左右於臺東縣太麻里鄉登陸，14時30分由臺南市將軍區進入臺灣海峽，並於9日13時左右在金門東北方進入福建。,尼伯特颱風影響，臺東出現17級強陣風。中央災害應變中心統計至7月9日止，全臺計有3人死亡，311人受傷，農損逾新臺幣6億元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/18?id=ISNULL,201601-尼伯特,201601-尼伯特/各測站總雨量長條圖.png,201601-尼伯特/各測站連續24小時累積雨量長條圖.png,201601-尼伯特/颱風雨量綜合資訊.pdf,201601-尼伯特/颱風路徑圖.png,201601-尼伯特/颱風警報單.pdf
杜鵑,DUJUAN,201521,2015,2,"138.2, 17.7",2015年 09月 28日,1,海上 2015-09-27 08:30:00;陸上 2015-09-27 17:30:00,陸上 2015-09-29 17:30:00;海上 2015-09-29 17:30:00,20,強烈,51 (公尺/秒),宜蘭縣南澳鄉,生成後向西北轉西北西方向移動，27日17時其中心在花蓮東南東方海面，暴風圈逐漸向臺灣東半部海面和陸地接近。28日17時40分其中心由宜蘭南澳鄉登陸，29日1時於彰化芳苑鄉出海，同日10時左右由金門北方進入福建。,風及豪雨造成鐵公路及航空交通多班停駛。中央災害應變中心統計至9月29日止計有3人死亡，農損逾新臺幣1.7億元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/15?id=ISNULL,201521-杜鵑,201521-杜鵑/各測站總雨量長條圖.png,201521-杜鵑/各測站連續24小時累積雨量長條圖.png,201521-杜鵑/颱風雨量綜合資訊.pdf,201521-杜鵑/颱風路徑圖.png,201521-杜鵑/颱風警報單.pdf
天鵝,GONI,201515,2015,---,"148.2, 13.0",2015年 08月 23日,1,海上 2015-08-20 17:30:00,海上 2015-08-23 20:30:00,26,強烈,51 (公尺/秒),---,15日2時發展為颱風後往西北西方向移動，20日移動至菲律賓東北方海面，21日晚間至22日清晨逐漸向北轉北北東方移動，22日至23日其中心持續向北北東移動，暴風圈經過台灣東方海面，23日20時其中心在臺北東南東方海面加速遠離，對臺灣近海威脅已解除。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/14?id=ISNULL,201515-天鵝,201515-天鵝/各測站總雨量長條圖.png,201515-天鵝/各測站連續24小時累積雨量長條圖.png,201515-天鵝/颱風雨量綜合資訊.pdf,201515-天鵝/颱風路徑圖.png,201515-天鵝/颱風警報單.pdf
蘇迪勒,SOUDELOR,201513,2015,3,"159.3, 13.6",2015年 08月 08日,1,海上 2015-08-06 11:30:00;陸上 2015-08-06 20:30:00,陸上 2015-08-09 08:30:00;海上 2015-08-09 08:30:00,24,中度,48 (公尺/秒),花蓮縣秀林鄉,生成後穩定向西北西移動並快速增強，4日午後雖略有減弱，但仍以中度颱風上限逼近臺灣。7日17時其中心在花蓮東南東方海面，暴風圈逐漸接觸臺灣陸地。8日4時40分左右中心由花蓮秀林鄉登陸，11時在雲林縣臺西鄉出海，同日22時左右由福建進入大陸。,受颱風影響，造成多處道路坍方，全臺停電戶數逾400萬戶。中央災害應變中心統計至8月11日止計有8人死亡，4 人失蹤，437人受傷，農損逾新臺幣22億元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/13?id=ISNULL,201513-蘇迪勒,201513-蘇迪勒/各測站總雨量長條圖.png,201513-蘇迪勒/各測站連續24小時累積雨量長條圖.png,201513-蘇迪勒/颱風雨量綜合資訊.pdf,201513-蘇迪勒/颱風路徑圖.png,201513-蘇迪勒/颱風警報單.pdf
蓮花,LINFA,201510,2015,---,"128.6, 15.2",2015年 07月 08日,1,海上 2015-07-06 08:30:00;陸上 2015-07-07 02:30:00,陸上 2015-07-07 14:30:00;海上 2015-07-09 05:30:00,24,輕度,30 (公尺/秒),---,生成後大致偏西移動，穿越呂宋島北方後逐漸改向北移動，6日17時其中心在鵝鑾鼻南南西方海面，暴風圈已進入巴士海峽，且移動緩慢。7日後逐漸由北北東轉西北移動，9日5時其中心在臺灣海峽南部向西移動，對臺灣近海威脅已解除。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/11?id=ISNULL,201510-蓮花,201510-蓮花/各測站總雨量長條圖.png,201510-蓮花/各測站連續24小時累積雨量長條圖.png,201510-蓮花/颱風雨量綜合資訊.pdf,201510-蓮花/颱風路徑圖.png,201510-蓮花/颱風警報單.pdf
